Symbol,Security,GICS Sector,GICS Sub-Industry,Founded,Date added,market_cap,percent_change,%_of_total_market_cap
MMM,3M,Industrials,Industrial Conglomerates,1902,1957-03-04,85274015370.02681,-0.6638903503045747,0.12896820989238983
AOS,A. O. Smith,Industrials,Building Products,1916,2017-07-26,9371867026.901817,-1.2695610237264716,0.014173988507100143
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1888,1957-03-04,216963078991.1547,-0.3895716102264773,0.32813442393690334
ABBV,AbbVie,Health Care,Biotechnology,2013 (1888),2012-12-31,400606558816.2771,-0.5440922909501824,0.6058763685220536
ACN,Accenture,Information Technology,IT Consulting & Other Services,1989,2011-07-06,166383242252.89822,-0.6296341507523148,0.2516376039797758
ADBE,Adobe Inc.,Information Technology,Application Software,1982,1997-05-05,146505808474.8953,-0.714878857745202,0.2215750223072745
AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969,2017-03-20,348661411424.4058,-0.5479672591475854,0.5273146561099427
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,1998-10-02,10211814086.504581,-1.103447223531789,0.01544432236215889
AFL,Aflac,Financials,Life & Health Insurance,1955,1999-05-28,58975866359.29966,-0.4783451210229888,0.08919495438566093
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1999,2000-06-05,38507080649.96867,-1.1262835065705519,0.058238013515122006
APD,Air Products,Materials,Industrial Gases,1940,1985-04-30,54586180644.17823,-0.7234145909961786,0.08255600456943829
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,2023-09-18,83092621024.54271,-0.8691858955340821,0.12566907448067385
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,2007-07-12,12552241406.439192,-0.8184622152007857,0.01898397885101358
ALB,Albemarle Corporation,Materials,Specialty Chemicals,1994,2016-07-01,16647139281.718445,-0.4013746126877357,0.02517709226751329
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1994,2017-03-20,8355087262.284141,0.3897407727363782,0.012636213306430522
ALGN,Align Technology,Health Care,Health Care Supplies,1997,2017-06-19,11318745905.918165,-1.2583821302925366,0.01711844330748117
ALLE,Allegion,Industrials,Building Products,1908,2013-12-02,13698008258.57836,-1.185380502842095,0.020716833803758848
LNT,Alliant Energy,Utilities,Electric Utilities,1917,2016-07-01,16711060475.916523,-0.6267136108075706,0.025273766523488433
ALL,Allstate,Financials,Property & Casualty Insurance,1931,1995-07-13,54848631042.40886,-0.45433389732229057,0.08295293390246518
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1998,2006-04-03,3791094195317.915,-0.27083195379491937,5.733641482484207
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1998,2014-04-03,3788141226591.464,-0.2384358700066575,5.729175419887459
MO,Altria,Consumer Staples,Tobacco,1985,1957-03-04,96862505303.21304,-0.19041130254444993,0.14649461339941092
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1994,2005-11-18,2467515554900.6353,-0.7353853111662996,3.7318644210228866
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019 (1860),2019-06-07,19221697676.075127,-0.5959475457765937,0.02907084801412394
AEE,Ameren,Utilities,Multi-Utilities,1902,1991-09-19,27011622569.035458,-0.8735331269392987,0.040852311151303576
AEP,American Electric Power,Utilities,Electric Utilities,1906,1957-03-04,61721474352.488335,-0.5862577098884362,0.09334740512239781
AXP,American Express,Financials,Consumer Finance,1850,1976-06-30,256871026798.30588,-0.9212881520535013,0.38849110547504395
AIG,American International Group,Financials,Multi-line Insurance,1919,1980-03-31,47395031381.35883,-0.673393962795163,0.07168012821401594
AMT,American Tower,Real Estate,Telecom Tower REITs,1995,2007-11-19,82210871923.6177,-0.6507434860461345,0.12433551932173041
AWK,American Water Works,Utilities,Water Utilities,1886,2016-03-04,25470619988.360584,-0.4804429645034476,0.03852170266046608
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1894,2005-10-03,46225122643.712456,-0.8352387147080136,0.06991076113335244
AME,Ametek,Industrials,Electrical Components & Equipment,1930,2013-09-23,47417153458.292366,-0.8307980634906549,0.07171358558844401
AMGN,Amgen,Health Care,Biotechnology,1980,1992-01-02,176250102441.46967,-0.4198499718769225,0.2665602189200572
APH,Amphenol,Information Technology,Electronic Components,1932,2008-09-30,165418866072.8836,-0.7782654789607397,0.2501790838308224
ADI,Analog Devices,Information Technology,Semiconductors,1965,1999-10-12,132794203840.76472,-1.3172240087006521,0.2008376253787656
AON,Aon plc,Financials,Insurance Brokers,1982 (1919),1996-04-23,76090310681.58844,-1.0126470449251908,0.11507879764050055
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1954,1997-07-28,8751456822.947174,-0.9716666844274024,0.013235681649427216
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,1990,2024-12-23,84021974601.099,-0.8900472911731362,0.1270746265307968
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1977,1982-11-30,4017098883040.988,-0.4467559984958011,6.075450413099879
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1967,1995-03-16,204729142419.27768,-1.1462903305517265,0.3096318485302502
APP,AppLovin,Information Technology,Application Software,2012,2025-09-22,227919564345.20007,-2.867194363413925,0.3447049852819024
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1994,2012-12-24,16569342920.780197,-1.0533227203066997,0.0250594332436851
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,1995,2022-11-01,35799288198.322,-0.7655756932835126,0.054142754909864095
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1902,1957-03-04,27627954900.612366,-1.1689814541571348,0.04178445064488037
ARES,Ares Management,Financials,Asset Management & Custody Banks,1977,2025-12-11,52953966179.69533,-0.9802063876772025,0.08008744745117204
ANET,Arista Networks,Information Technology,Communications Equipment,2004,2018-08-28,165004127484.4797,-1.0646357868599294,0.2495518342157122
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1927,2016-05-31,66458565013.11166,-1.1610503697996828,0.10051176931877746
AIZ,Assurant,Financials,Multi-line Insurance,1892,2007-04-10,12153101131.17174,-0.5286411239765085,0.018380320086103435
T,AT&T,Communication Services,Integrated Telecommunication Services,1983 (1885),1983-11-30,175557345755.0527,0.12092385608264418,0.26551249542128097
ATO,Atmos Energy,Utilities,Gas Utilities,1906,2019-02-15,27113818918.7247,-0.5635288515385372,0.041006872657757404
ADSK,Autodesk,Information Technology,Application Software,1982,1989-12-01,63050132418.76999,-1.178473218467403,0.0953568642949708
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1949,1981-03-31,104201174761.58232,-0.8862126936334049,0.15759359893364333
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1979,1997-01-02,56409678941.75275,-0.2162524808410473,0.08531385888366902
